key;ru;eng
lang;Русский;English
backBtn;Назад;Back
restoreDef;Сбросить прогресс;Restore Progress
settingsBTN;Настройки;Settings
playBTN;Играть;Play
exitBTN;Выход;Exit
continue;продолжить;continue
end;конец;finish
Vasya;Васей;Vasya
startdialog;Начать диалог с ;Start dialog with
dia1Text1;Привет, это наша первая встреча;Hello its first time when you meet me
dia1Text2;Но я думаю что она не последняя;But I think that not last
dia1Text3;Иди вниз к Джо, он расскажет что тебе нужно делать;Go to my friend Joy, in the holl
